status	source_file	line	include_path	new_target_path	classification
dropped-library	clang/include/clang/Frontend/CompilerInvocation.h	12	clang/APINotes/APINotesOptions.h	(DROPPED) clang/APINotes/APINotesOptions.h	mapped
dropped-library	clang/include/clang/Frontend/CompilerInvocation.h	23	clang/StaticAnalyzer/Core/AnalyzerOptions.h	(DROPPED) clang/StaticAnalyzer/Core/AnalyzerOptions.h	mapped
dropped-library	clang/include/clang/Sema/Sema.h	17	clang/APINotes/APINotesManager.h	(DROPPED) clang/APINotes/APINotesManager.h	mapped
dropped-library	clang/lib/Analysis/plugins/CheckerDependencyHandling/CheckerDependencyHandling.cpp	1	clang/StaticAnalyzer/Core/Checker.h	(DROPPED) clang/StaticAnalyzer/Core/Checker.h	mapped
dropped-library	clang/lib/Analysis/plugins/CheckerDependencyHandling/CheckerDependencyHandling.cpp	2	clang/StaticAnalyzer/Core/PathSensitive/CheckerContext.h	(DROPPED) clang/StaticAnalyzer/Core/PathSensitive/CheckerContext.h	mapped
dropped-library	clang/lib/Analysis/plugins/CheckerDependencyHandling/CheckerDependencyHandling.cpp	3	clang/StaticAnalyzer/Frontend/CheckerRegistry.h	(DROPPED) clang/StaticAnalyzer/Frontend/CheckerRegistry.h	mapped
dropped-library	clang/lib/Analysis/plugins/CheckerOptionHandling/CheckerOptionHandling.cpp	1	clang/StaticAnalyzer/Core/Checker.h	(DROPPED) clang/StaticAnalyzer/Core/Checker.h	mapped
dropped-library	clang/lib/Analysis/plugins/CheckerOptionHandling/CheckerOptionHandling.cpp	2	clang/StaticAnalyzer/Core/PathSensitive/CheckerContext.h	(DROPPED) clang/StaticAnalyzer/Core/PathSensitive/CheckerContext.h	mapped
dropped-library	clang/lib/Analysis/plugins/CheckerOptionHandling/CheckerOptionHandling.cpp	3	clang/StaticAnalyzer/Frontend/CheckerRegistry.h	(DROPPED) clang/StaticAnalyzer/Frontend/CheckerRegistry.h	mapped
dropped-library	clang/lib/Analysis/plugins/SampleAnalyzer/MainCallChecker.cpp	1	clang/StaticAnalyzer/Core/BugReporter/BugType.h	(DROPPED) clang/StaticAnalyzer/Core/BugReporter/BugType.h	mapped
dropped-library	clang/lib/Analysis/plugins/SampleAnalyzer/MainCallChecker.cpp	2	clang/StaticAnalyzer/Core/Checker.h	(DROPPED) clang/StaticAnalyzer/Core/Checker.h	mapped
dropped-library	clang/lib/Analysis/plugins/SampleAnalyzer/MainCallChecker.cpp	3	clang/StaticAnalyzer/Core/PathSensitive/CheckerContext.h	(DROPPED) clang/StaticAnalyzer/Core/PathSensitive/CheckerContext.h	mapped
dropped-library	clang/lib/Analysis/plugins/SampleAnalyzer/MainCallChecker.cpp	4	clang/StaticAnalyzer/Frontend/CheckerRegistry.h	(DROPPED) clang/StaticAnalyzer/Frontend/CheckerRegistry.h	mapped
dropped-library	clang/lib/CodeGen/CodeGenAction.cpp	26	clang/Driver/DriverDiagnostic.h	(DROPPED) clang/Driver/DriverDiagnostic.h	mapped
dropped-library	clang/lib/Frontend/CompilerInvocation.cpp	43	clang/StaticAnalyzer/Core/AnalyzerOptions.h	(DROPPED) clang/StaticAnalyzer/Core/AnalyzerOptions.h	mapped
dropped-library	clang/lib/Frontend/CompilerInvocation.cpp	949	clang/StaticAnalyzer/Core/Analyses.def	(DROPPED) clang/StaticAnalyzer/Core/Analyses.def	mapped
dropped-library	clang/lib/Frontend/CompilerInvocation.cpp	961	clang/StaticAnalyzer/Core/Analyses.def	(DROPPED) clang/StaticAnalyzer/Core/Analyses.def	mapped
dropped-library	clang/lib/Frontend/CompilerInvocation.cpp	973	clang/StaticAnalyzer/Core/Analyses.def	(DROPPED) clang/StaticAnalyzer/Core/Analyses.def	mapped
dropped-library	clang/lib/Frontend/CompilerInvocation.cpp	985	clang/StaticAnalyzer/Core/Analyses.def	(DROPPED) clang/StaticAnalyzer/Core/Analyses.def	mapped
dropped-library	clang/lib/Frontend/CompilerInvocation.cpp	1059	clang/StaticAnalyzer/Core/Analyses.def	(DROPPED) clang/StaticAnalyzer/Core/Analyses.def	mapped
dropped-library	clang/lib/Frontend/CompilerInvocation.cpp	1079	clang/StaticAnalyzer/Core/Analyses.def	(DROPPED) clang/StaticAnalyzer/Core/Analyses.def	mapped
dropped-library	clang/lib/Frontend/CompilerInvocation.cpp	1094	clang/StaticAnalyzer/Core/Analyses.def	(DROPPED) clang/StaticAnalyzer/Core/Analyses.def	mapped
dropped-library	clang/lib/Frontend/CompilerInvocation.cpp	1109	clang/StaticAnalyzer/Core/Analyses.def	(DROPPED) clang/StaticAnalyzer/Core/Analyses.def	mapped
dropped-library	clang/lib/Frontend/CompilerInvocation.cpp	1258	clang/StaticAnalyzer/Core/AnalyzerOptions.def	(DROPPED) clang/StaticAnalyzer/Core/AnalyzerOptions.def	mapped
dropped-library	clang/lib/Frontend/CompilerInvocation.cpp	1268	clang/StaticAnalyzer/Core/AnalyzerOptions.def	(DROPPED) clang/StaticAnalyzer/Core/AnalyzerOptions.def	mapped
dropped-library	clang/lib/Frontend/Rewrite/FixItRewriter.cpp	15	clang/Rewrite/Frontend/FixItRewriter.h	(DROPPED) clang/Rewrite/Frontend/FixItRewriter.h	mapped
dropped-library	clang/lib/Frontend/Rewrite/FixItRewriter.cpp	23	clang/Rewrite/Core/Rewriter.h	(DROPPED) clang/Rewrite/Core/Rewriter.h	mapped
dropped-library	clang/lib/Frontend/Rewrite/FrontendActions.cpp	9	clang/Rewrite/Frontend/FrontendActions.h	(DROPPED) clang/Rewrite/Frontend/FrontendActions.h	mapped
dropped-library	clang/lib/Frontend/Rewrite/FrontendActions.cpp	19	clang/Rewrite/Frontend/ASTConsumers.h	(DROPPED) clang/Rewrite/Frontend/ASTConsumers.h	mapped
dropped-library	clang/lib/Frontend/Rewrite/FrontendActions.cpp	20	clang/Rewrite/Frontend/FixItRewriter.h	(DROPPED) clang/Rewrite/Frontend/FixItRewriter.h	mapped
