current_path	target_path	size_bytes	area	action
clang/include/CMakeLists.txt	(keep-in-place)	24	clang	keep-in-place
clang/include/module.modulemap	(keep-in-place)	7827	clang	keep-in-place
clang/include/clang/CMakeLists.txt	(keep-in-place)	279	clang	keep-in-place
clang/include/clang/Analysis/AnalysisDeclContext.h	llvm-kain/clang/include/analysis/AnalysisDeclContext.h	13616	clang	move
clang/include/clang/Analysis/AnnexKDetection.h	llvm-kain/clang/include/analysis/AnnexKDetection.h	1508	clang	move
clang/include/clang/Analysis/AnyCall.h	llvm-kain/clang/include/analysis/AnyCall.h	6786	clang	move
clang/include/clang/Analysis/BodyFarm.h	llvm-kain/clang/include/analysis/BodyFarm.h	1566	clang	move
clang/include/clang/Analysis/CallGraph.h	llvm-kain/clang/include/analysis/CallGraph.h	10409	clang	move
clang/include/clang/Analysis/CFG.h	llvm-kain/clang/include/analysis/CFG.h	55098	clang	move
clang/include/clang/Analysis/CFGBackEdges.h	llvm-kain/clang/include/analysis/CFGBackEdges.h	2463	clang	move
clang/include/clang/Analysis/CFGStmtMap.h	llvm-kain/clang/include/analysis/CFGStmtMap.h	1278	clang	move
clang/include/clang/Analysis/CloneDetection.h	llvm-kain/clang/include/analysis/CloneDetection.h	16891	clang	move
clang/include/clang/Analysis/CodeInjector.h	llvm-kain/clang/include/analysis/CodeInjector.h	1632	clang	move
clang/include/clang/Analysis/ConstructionContext.h	llvm-kain/clang/include/analysis/ConstructionContext.h	28091	clang	move
clang/include/clang/Analysis/IssueHash.h	llvm-kain/clang/include/analysis/IssueHash.h	2112	clang	move
clang/include/clang/Analysis/MacroExpansionContext.h	llvm-kain/clang/include/analysis/MacroExpansionContext.h	5010	clang	move
clang/include/clang/Analysis/PathDiagnostic.h	llvm-kain/clang/include/analysis/PathDiagnostic.h	29642	clang	move
clang/include/clang/Analysis/ProgramPoint.h	llvm-kain/clang/include/analysis/ProgramPoint.h	24156	clang	move
clang/include/clang/Analysis/RetainSummaryManager.h	llvm-kain/clang/include/analysis/RetainSummaryManager.h	25959	clang	move
clang/include/clang/Analysis/SelectorExtras.h	llvm-kain/clang/include/analysis/SelectorExtras.h	1233	clang	move
clang/include/clang/Analysis/Analyses/CalledOnceCheck.h	llvm-kain/clang/include/analysis/Analyses/CalledOnceCheck.h	5539	clang	move
clang/include/clang/Analysis/Analyses/CFGReachabilityAnalysis.h	llvm-kain/clang/include/analysis/Analyses/CFGReachabilityAnalysis.h	1738	clang	move
clang/include/clang/Analysis/Analyses/Consumed.h	llvm-kain/clang/include/analysis/Analyses/Consumed.h	9845	clang	move
clang/include/clang/Analysis/Analyses/Dominators.h	llvm-kain/clang/include/analysis/Analyses/Dominators.h	10023	clang	move
clang/include/clang/Analysis/Analyses/ExprMutationAnalyzer.h	llvm-kain/clang/include/analysis/Analyses/ExprMutationAnalyzer.h	5548	clang	move
clang/include/clang/Analysis/Analyses/IntervalPartition.h	llvm-kain/clang/include/analysis/Analyses/IntervalPartition.h	5230	clang	move
clang/include/clang/Analysis/Analyses/LiveVariables.h	llvm-kain/clang/include/analysis/Analyses/LiveVariables.h	3672	clang	move
clang/include/clang/Analysis/Analyses/PostOrderCFGView.h	llvm-kain/clang/include/analysis/Analyses/PostOrderCFGView.h	3038	clang	move
clang/include/clang/Analysis/Analyses/ReachableCode.h	llvm-kain/clang/include/analysis/Analyses/ReachableCode.h	2046	clang	move
clang/include/clang/Analysis/Analyses/ThreadSafety.h	llvm-kain/clang/include/analysis/Analyses/ThreadSafety.h	14550	clang	move
clang/include/clang/Analysis/Analyses/ThreadSafetyCommon.h	llvm-kain/clang/include/analysis/Analyses/ThreadSafetyCommon.h	19096	clang	move
clang/include/clang/Analysis/Analyses/ThreadSafetyLogical.h	llvm-kain/clang/include/analysis/Analyses/ThreadSafetyLogical.h	2731	clang	move
clang/include/clang/Analysis/Analyses/ThreadSafetyOps.def	llvm-kain/clang/include/analysis/Analyses/ThreadSafetyOps.def	1394	clang	move
clang/include/clang/Analysis/Analyses/ThreadSafetyTIL.h	llvm-kain/clang/include/analysis/Analyses/ThreadSafetyTIL.h	55681	clang	move
clang/include/clang/Analysis/Analyses/ThreadSafetyTraverse.h	llvm-kain/clang/include/analysis/Analyses/ThreadSafetyTraverse.h	25802	clang	move
clang/include/clang/Analysis/Analyses/ThreadSafetyUtil.h	llvm-kain/clang/include/analysis/Analyses/ThreadSafetyUtil.h	9558	clang	move
clang/include/clang/Analysis/Analyses/UninitializedValues.h	llvm-kain/clang/include/analysis/Analyses/UninitializedValues.h	4464	clang	move
clang/include/clang/Analysis/Analyses/UnsafeBufferUsage.h	llvm-kain/clang/include/analysis/Analyses/UnsafeBufferUsage.h	8371	clang	move
clang/include/clang/Analysis/Analyses/UnsafeBufferUsageGadgets.def	llvm-kain/clang/include/analysis/Analyses/UnsafeBufferUsageGadgets.def	2272	clang	move
clang/include/clang/Analysis/Analyses/LifetimeSafety/Checker.h	llvm-kain/clang/include/analysis/Analyses/LifetimeSafety/Checker.h	1739	clang	move
clang/include/clang/Analysis/Analyses/LifetimeSafety/Facts.h	llvm-kain/clang/include/analysis/Analyses/LifetimeSafety/Facts.h	13938	clang	move
clang/include/clang/Analysis/Analyses/LifetimeSafety/FactsGenerator.h	llvm-kain/clang/include/analysis/Analyses/LifetimeSafety/FactsGenerator.h	7658	clang	move
clang/include/clang/Analysis/Analyses/LifetimeSafety/LifetimeAnnotations.h	llvm-kain/clang/include/analysis/Analyses/LifetimeSafety/LifetimeAnnotations.h	5480	clang	move
clang/include/clang/Analysis/Analyses/LifetimeSafety/LifetimeSafety.h	llvm-kain/clang/include/analysis/Analyses/LifetimeSafety/LifetimeSafety.h	9726	clang	move
clang/include/clang/Analysis/Analyses/LifetimeSafety/LifetimeStats.h	llvm-kain/clang/include/analysis/Analyses/LifetimeSafety/LifetimeStats.h	1526	clang	move
clang/include/clang/Analysis/Analyses/LifetimeSafety/LiveOrigins.h	llvm-kain/clang/include/analysis/Analyses/LifetimeSafety/LiveOrigins.h	4030	clang	move
clang/include/clang/Analysis/Analyses/LifetimeSafety/LoanPropagation.h	llvm-kain/clang/include/analysis/Analyses/LifetimeSafety/LoanPropagation.h	2551	clang	move
clang/include/clang/Analysis/Analyses/LifetimeSafety/Loans.h	llvm-kain/clang/include/analysis/Analyses/LifetimeSafety/Loans.h	5916	clang	move
clang/include/clang/Analysis/Analyses/LifetimeSafety/MovedLoans.h	llvm-kain/clang/include/analysis/Analyses/LifetimeSafety/MovedLoans.h	1823	clang	move
clang/include/clang/Analysis/Analyses/LifetimeSafety/Origins.h	llvm-kain/clang/include/analysis/Analyses/LifetimeSafety/Origins.h	8780	clang	move
clang/include/clang/Analysis/Analyses/LifetimeSafety/Utils.h	llvm-kain/clang/include/analysis/Analyses/LifetimeSafety/Utils.h	4183	clang	move
clang/include/clang/Analysis/DomainSpecific/CocoaConventions.h	llvm-kain/clang/include/analysis/DomainSpecific/CocoaConventions.h	1082	clang	move
clang/include/clang/Analysis/DomainSpecific/ObjCNoReturn.h	llvm-kain/clang/include/analysis/DomainSpecific/ObjCNoReturn.h	1323	clang	move
clang/include/clang/Analysis/FlowSensitive/AdornedCFG.h	llvm-kain/clang/include/analysis/FlowSensitive/AdornedCFG.h	4088	clang	move
