risk_score,file,function,start_line,end_line,body_lines,size_terms,guard_hits,lock_hits,once_hits,atomic_hits,alloc_hits,destroy_hits,arithmetic_lines,pointer_lines,global_write_lines,init_flag_lines,count_like_writes,token_density,reasons,signature,excerpt
145,fanout.c,kain_fanout_runtime_shutdown,338,368,31,count|index|size,,,,,memset(,CloseHandle(|DeleteCriticalSection(|pthread_cond_destroy(|pthread_mutex_destroy(,16,14,2,1,2,13,touches size/count/capacity vocabulary | multiple arithmetic sites in one function | dense pointer or indexing traffic | allocation or copy sink with no explicit overflow guard | lazy init flag with no obvious synchronization | writes global state without obvious synchronization | count-like increment with no lock or atomic | destructive teardown after lock release,void kain_fanout_runtime_shutdown(void) {,void kain_fanout_runtime_shutdown(void) { || KainFanoutRuntime* runtime = &g_kain_fanout_runtime; || if (!runtime->initialized) {
135,contract.c,contract_analyze_services,361,1016,656,bytes|count|cursor|mask|path|size,,,,,malloc(|snprintf(,free(,185,133,7,2,2,148,touches size/count/capacity vocabulary | multiple arithmetic sites in one function | dense pointer or indexing traffic | allocation or copy sink with no explicit overflow guard | lazy init flag with no obvious synchronization | writes global state without obvious synchronization | count-like increment with no lock or atomic,"static void contract_analyze_services( const char* array_start, const char* array_end, KainRuntimeContractBundle* bundle ) {","static void contract_analyze_services( || const char* array_start, || const char* array_end,"
135,fanout.c,kain_fanout_runtime_init,200,273,74,count|generation|index|size,,,,,memset(,CloseHandle(|DeleteCriticalSection(|pthread_cond_destroy(|pthread_mutex_destroy(,50,39,4,2,4,36,touches size/count/capacity vocabulary | multiple arithmetic sites in one function | dense pointer or indexing traffic | allocation or copy sink with no explicit overflow guard | lazy init flag with no obvious synchronization | writes global state without obvious synchronization | count-like increment with no lock or atomic,static int kain_fanout_runtime_init(void) {,static int kain_fanout_runtime_init(void) { || KainFanoutRuntime* runtime = &g_kain_fanout_runtime; || if (runtime->initialized) {
115,host_bridge.c,kain_host_bridge_install_module,163,217,55,count|mask|size,,,,,memset(,,17,7,0,1,1,6,touches size/count/capacity vocabulary | multiple arithmetic sites in one function | dense pointer or indexing traffic | allocation or copy sink with no explicit overflow guard | lazy init flag with no obvious synchronization | count-like increment with no lock or atomic,"int kain_host_bridge_install_module( KainHostBridgeRegistry* registry, const KainServiceRegistry* runtime_services, const KainHostBridgeModuleDescriptor* descriptor, unsigned int available_capability_mask, KainDiagnostic* diag ) {","int kain_host_bridge_install_module( || KainHostBridgeRegistry* registry, || const KainServiceRegistry* runtime_services,"
110,attrition.c,kain_attrition_heap_release,559,607,49,bytes|capacity|count|header|size|slot,,,,,memset(,free(,10,7,11,0,1,32,touches size/count/capacity vocabulary | multiple arithmetic sites in one function | dense pointer or indexing traffic | allocation or copy sink with no explicit overflow guard | writes global state without obvious synchronization | count-like increment with no lock or atomic | destructive teardown after lock release,"int kain_attrition_heap_release(void* raw_header, size_t total_bytes) {","int kain_attrition_heap_release(void* raw_header, size_t total_bytes) { || size_t slot; || KainAttritionQuarantineEntry* entry;"
100,attrition.c,kain_attrition_fragmentation_noise_locked,198,239,42,allocation|bytes|capacity|count|size|slot,,,,,malloc(|memset(,free(,5,6,14,0,1,42,touches size/count/capacity vocabulary | multiple arithmetic sites in one function | dense pointer or indexing traffic | allocation or copy sink with no explicit overflow guard | writes global state without obvious synchronization | count-like increment with no lock or atomic,static void kain_attrition_fragmentation_noise_locked(void) {,static void kain_attrition_fragmentation_noise_locked(void) { || uint64_t max_bytes = g_kain_attrition_state.config.fragmentation_noise_max_bytes; || void* noise_block;
100,input_system.c,abi_input_bind_action,404,433,30,capacity|count|size,,,,,memset(,,16,9,2,0,1,10,touches size/count/capacity vocabulary | multiple arithmetic sites in one function | dense pointer or indexing traffic | allocation or copy sink with no explicit overflow guard | writes global state without obvious synchronization | count-like increment with no lock or atomic,"int64_t abi_input_bind_action( int64_t session_id, const char* source_kind, const char* event_kind, const char* code, const char* action ) {","int64_t abi_input_bind_action( || int64_t session_id, || const char* source_kind,"
100,input_system.c,abi_input_bind_axis,434,464,31,capacity|count|size,,,,,memset(,,16,9,2,0,1,10,touches size/count/capacity vocabulary | multiple arithmetic sites in one function | dense pointer or indexing traffic | allocation or copy sink with no explicit overflow guard | writes global state without obvious synchronization | count-like increment with no lock or atomic,"int64_t abi_input_bind_axis( int64_t session_id, const char* source_kind, const char* event_kind, const char* code, const char* axis, double scale ) {","int64_t abi_input_bind_axis( || int64_t session_id, || const char* source_kind,"
100,input_system.c,abi_input_push_event,465,505,41,capacity|count|size,,,,,memset(,,20,12,2,0,1,12,touches size/count/capacity vocabulary | multiple arithmetic sites in one function | dense pointer or indexing traffic | allocation or copy sink with no explicit overflow guard | writes global state without obvious synchronization | count-like increment with no lock or atomic,"int64_t abi_input_push_event( int64_t session_id, const char* source_kind, const char* source_id, const char* event_kind, const char* code, double value, const char* text, double confidence ) {","int64_t abi_input_push_event( || int64_t session_id, || const char* source_kind,"
100,input_system.c,abi_input_push_agent_intent,506,539,34,capacity|count|size,,,,,memset(,,18,12,2,0,1,12,touches size/count/capacity vocabulary | multiple arithmetic sites in one function | dense pointer or indexing traffic | allocation or copy sink with no explicit overflow guard | writes global state without obvious synchronization | count-like increment with no lock or atomic,"int64_t abi_input_push_agent_intent( int64_t session_id, const char* source_id, const char* action, const char* command_text, double confidence ) {","int64_t abi_input_push_agent_intent( || int64_t session_id, || const char* source_id,"
