score,kind,file,function,start_line,evidence_line,details,excerpt
95,plain-init-race,actor.c,kain_actor_runtime_init,1231,1238,"lazy init flag is checked and/or written without lock, once primitive, or atomic guard",/* || * Initialize Actor Runtime || *
95,plain-init-race,actor.c,kain_actor_runtime_ensure_initialized,1265,1266,"lazy init flag is checked and/or written without lock, once primitive, or atomic guard",static void kain_actor_runtime_ensure_initialized(void) { || if (!g_actor_runtime_initialized) { || kain_actor_runtime_init();
95,plain-init-race,attrition.c,kain_attrition_init_once,242,247,"lazy init flag is checked and/or written without lock, once primitive, or atomic guard","static BOOL CALLBACK kain_attrition_init_once(PINIT_ONCE init_once, PVOID parameter, PVOID* context) { || (void)init_once; || (void)parameter;"
95,plain-init-race,attrition.c,kain_attrition_init_once,251,253,"lazy init flag is checked and/or written without lock, once primitive, or atomic guard","static void kain_attrition_init_once(void) { || pthread_mutex_init(&g_kain_attrition_state.lock, NULL); || g_kain_attrition_state.initialized = 1;"
95,plain-init-race,core.c,init_winsock,1883,1884,"lazy init flag is checked and/or written without lock, once primitive, or atomic guard",static void init_winsock(void) { || static int initialized = 0; || if (!initialized) {
95,plain-init-race,fanout.c,kain_fanout_runtime_init,200,203,"lazy init flag is checked and/or written without lock, once primitive, or atomic guard",static int kain_fanout_runtime_init(void) { || KainFanoutRuntime* runtime = &g_kain_fanout_runtime; || if (runtime->initialized) {
95,plain-init-race,host_bridge.c,kain_host_bridge_registry_init,55,61,"lazy init flag is checked and/or written without lock, once primitive, or atomic guard",void kain_host_bridge_registry_init(KainHostBridgeRegistry* registry) { || if (!registry) { || return;
95,plain-init-race,net_system.c,abi_net_init_winsock,466,467,"lazy init flag is checked and/or written without lock, once primitive, or atomic guard",static void abi_net_init_winsock(void) { || static int initialized = 0; || if (!initialized) {
95,plain-init-race,services.c,kain_service_registry_init,605,611,"lazy init flag is checked and/or written without lock, once primitive, or atomic guard",void kain_service_registry_init(KainServiceRegistry* registry) { || if (!registry) { || return;
92,shared-slot-overwrite,contract.c,contract_add_warning,284,296,count-derived slot selection and count increment both happen without synchronization,"static void contract_add_warning( || KainRuntimeContractValidation* validation, || const char* warning"
92,shared-slot-overwrite,core.c,kain_map_rebuild_tiny_dispatch,1075,1102,count-derived slot selection and count increment both happen without synchronization,static void kain_map_rebuild_tiny_dispatch(KainMap* map) { || uint64_t fingerprints[KAIN_MAP_TINY_MAX_COUNT]; || uint8_t entry_indices[KAIN_MAP_TINY_MAX_COUNT];
92,shared-slot-overwrite,diagnostics.c,kain_diagnostic_collector_add,157,171,count-derived slot selection and count increment both happen without synchronization,"int kain_diagnostic_collector_add( || KainDiagnosticCollector* collector, || const KainDiagnostic* diag"
92,shared-slot-overwrite,entangle.c,entangle_registry_register,31,74,count-derived slot selection and count increment both happen without synchronization,"int entangle_registry_register( || const char* authority, || const char* mirror,"
92,shared-slot-overwrite,graphics_system.c,abi_graphics_draw_mesh,1141,1176,count-derived slot selection and count increment both happen without synchronization,"int64_t abi_graphics_draw_mesh( || int64_t session_id, || int64_t pipeline_id,"
92,shared-slot-overwrite,host_bridge.c,kain_host_bridge_module_add_required_service,82,94,count-derived slot selection and count increment both happen without synchronization,"int kain_host_bridge_module_add_required_service( || KainHostBridgeModuleDescriptor* descriptor, || const char* service_key"
92,shared-slot-overwrite,host_bridge.c,kain_host_bridge_install_module,163,211,count-derived slot selection and count increment both happen without synchronization,"int kain_host_bridge_install_module( || KainHostBridgeRegistry* registry, || const KainServiceRegistry* runtime_services,"
92,shared-slot-overwrite,host_bridge.c,kain_host_bridge_register_service,306,364,count-derived slot selection and count increment both happen without synchronization,"int kain_host_bridge_register_service( || KainHostBridgeRegistry* registry, || const KainHostBridgeServiceDescriptor* descriptor,"
92,shared-slot-overwrite,input_system.c,abi_input_name_add,148,159,count-derived slot selection and count increment both happen without synchronization,"static int abi_input_name_add(char names[][ABI_INPUT_MAX_KEY], int64_t* count, int64_t capacity, const char* name) { || if (abi_input_text_empty(name)) { || return 0;"
92,shared-slot-overwrite,input_system.c,abi_input_axis_add,239,254,count-derived slot selection and count increment both happen without synchronization,"static int abi_input_axis_add(KainNativeInputSession* session, const char* axis, double value) { || int64_t i; || if (!session || abi_input_text_empty(axis)) {"
92,shared-slot-overwrite,input_system.c,abi_input_reduce_event,298,309,count-derived slot selection and count increment both happen without synchronization,"static void abi_input_reduce_event(KainNativeInputSession* session, const KainNativeInputEvent* event) { || const KainNativeInputBinding* action_binding; || const KainNativeInputBinding* axis_binding;"
92,shared-slot-overwrite,input_system.c,abi_input_bind_action,404,423,count-derived slot selection and count increment both happen without synchronization,"int64_t abi_input_bind_action( || int64_t session_id, || const char* source_kind,"
92,shared-slot-overwrite,input_system.c,abi_input_bind_axis,434,454,count-derived slot selection and count increment both happen without synchronization,"int64_t abi_input_bind_axis( || int64_t session_id, || const char* source_kind,"
92,shared-slot-overwrite,input_system.c,abi_input_push_event,465,487,count-derived slot selection and count increment both happen without synchronization,"int64_t abi_input_push_event( || int64_t session_id, || const char* source_kind,"
92,shared-slot-overwrite,input_system.c,abi_input_push_agent_intent,506,525,count-derived slot selection and count increment both happen without synchronization,"int64_t abi_input_push_agent_intent( || int64_t session_id, || const char* source_id,"
