file	total	parser_error	type_error	kain_error	diagnostic_code	other
crates/3d/src/host.rs	17	0	0	17	0	0
crates/c-ffi/src/extract.rs	3	0	0	3	0	0
crates/c-ffi/src/generate.rs	17	0	0	17	0	0
crates/c-ffi/src/lib.rs	27	0	0	27	0	0
crates/c-ffi/src/libclang_extract.rs	5	0	0	5	0	0
crates/c-ffi/src/platform.rs	2	0	0	2	0	0
crates/c-ffi/src/vcpkg.rs	5	0	0	5	0	0
crates/c-ffi/src/vcpkg_setup.rs	8	0	0	8	0	0
crates/check/src/validate.rs	24	0	0	0	16	8
crates/check/src/validate_semantic_contracts.rs	54	0	0	0	36	18
crates/cli/src/fabric.rs	4	0	0	4	0	0
crates/cli/src/gpu_artifacts.rs	11	0	0	11	0	0
crates/cli/src/import_c.rs	19	0	0	19	0	0
crates/cli/src/import_platform.rs	1	0	0	1	0	0
crates/cli/src/import_rust.rs	33	0	0	33	0	0
crates/cli/src/import_typescript.rs	32	0	0	32	0	0
crates/cli/src/import_usf.rs	21	0	0	21	0	0
crates/cli/src/kain_launcher.rs	7	0	0	0	5	2
crates/cli/src/lib.rs	1	0	0	1	0	0
crates/cli/src/llvm_native_stage.rs	6	0	0	0	4	2
crates/cli/src/lsp.rs	1	0	0	0	1	0
crates/cli/src/native_ui_build.rs	8	0	0	8	0	0
crates/cli/src/native_ui_dev.rs	17	0	0	17	0	0
crates/cli/src/omni.rs	2	0	0	2	0	0
crates/cli/src/packager/build.rs	8	0	0	8	0	0
crates/cli/src/packager/codegen.rs	2	0	0	2	0	0
crates/cli/src/packager/cpp_validator.rs	6	0	0	6	0	0
crates/cli/src/packager/inject.rs	10	0	0	10	0	0
crates/cli/src/packager/mod.rs	4	0	0	4	0	0
crates/cli/src/packager/plugin_layout.rs	4	0	0	4	0	0
crates/cli/src/packager/post_process.rs	2	0	0	2	0	0
crates/cli/src/packager/registry.rs	14	0	0	14	0	0
crates/cli/src/rust_build.rs	10	0	0	10	0	0
crates/cli/src/selfhost.rs	92	0	0	92	0	0
crates/cli/src/selfhost_bootstrap.rs	1	0	0	1	0	0
crates/cli/src/selfhost_profile.rs	2	0	0	2	0	0
crates/codebase/src/lib.rs	37	0	0	37	0	0
crates/core/src/effects.rs	3	0	0	0	2	1
crates/core/src/low_level_memory.rs	9	0	0	0	4	5
crates/core/src/monomorphize.rs	10	0	5	5	0	0
crates/core/src/parser.rs	189	177	0	0	10	2
crates/core/src/runtime.rs	452	0	0	452	0	0
crates/core/src/types.rs	311	0	282	2	20	7
crates/core/tests/compiler_owned_intent_test.rs	4	0	0	4	0	0
crates/crate-ffi/src/extract.rs	2	0	0	2	0	0
crates/crate-ffi/src/generate.rs	2	0	0	2	0	0
crates/crate-ffi/src/lib.rs	8	0	0	8	0	0
crates/crate-ffi/src/resolve.rs	15	0	0	15	0	0
crates/driver/src/compute_residency.rs	4	0	0	4	0	0
crates/driver/src/lib.rs	32	0	0	32	0	0
crates/driver/src/native_app.rs	24	0	0	24	0	0
crates/driver/src/tauri_app.rs	15	0	0	15	0	0
crates/error/src/builder.rs	156	0	0	0	83	73
crates/error/src/chain.rs	1	0	0	0	1	0
crates/error/src/diagnostic_registry.rs	46	0	0	0	46	0
crates/error/src/error.rs	83	0	0	0	71	12
crates/error/src/report.rs	23	0	0	0	23	0
crates/error/src/spec.rs	1	0	0	0	1	0
crates/error/tests/integration.rs	20	0	0	0	18	2
crates/fmt/src/lib.rs	11	0	0	11	0	0
crates/fs/src/capabilities.rs	6	0	0	0	6	0
crates/fs/src/error.rs	28	0	0	0	28	0
crates/fs/src/ops.rs	8	0	0	0	8	0
crates/fs/src/streaming.rs	1	0	0	0	1	0
crates/fs/src/transaction.rs	1	0	0	0	1	0
crates/gpu/src/codegen_ptx.rs	2	0	0	0	2	0
crates/gpu/src/codegen_spirv.rs	11	0	0	0	8	3
crates/host-derive/src/lib.rs	1	0	0	1	0	0
crates/host/src/lib.rs	18	0	0	18	0	0
crates/host/tests/derive_roundtrip.rs	1	0	0	1	0	0
crates/import/src/c/transformer.rs	2	0	0	0	2	0
crates/interop/src/lib.rs	27	0	0	27	0	0
crates/node/src/lib.rs	43	0	0	43	0	0
crates/python/src/lib.rs	269	0	0	269	0	0
crates/repl/src/terminal.rs	1	0	0	0	1	0
crates/semantic/examples/semantic_probe.rs	12	0	0	0	12	0
crates/semantic/examples/verify_scratch.rs	1	0	0	0	1	0
crates/semantic/src/expert.rs	13	0	0	0	13	0
crates/semantic/src/pack.rs	9	0	0	0	9	0
crates/service-bridge/src/lib.rs	18	0	0	18	0	0
crates/sys-codegen/src/codegen_llvm/mod.rs	3	0	0	0	2	1
crates/sys-codegen/src/codegen_rust/artifact_bundle.rs	1	0	0	1	0	0
crates/ui/src/lib.rs	3	0	0	0	3	0
